,User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
0,14733363,,68,190,94,29,105,40.8,231
1,14861698,,20,166,60,14,94,40.3,66
2,11179863,,69,179,79,5,88,38.7,26
3,16180408,,34,179,71,13,100,40.5,71
4,17771927,,27,154,58,10,81,39.8,35
5,15130815,,36,151,50,23,96,40.7,123
6,19602372,,33,158,56,22,95,40.5,112
7,11117088,,41,175,85,25,100,40.7,143
8,12132339,,60,186,94,21,97,40.4,134
9,17964668,,26,146,51,16,90,40.2,72
10,13723164,,36,177,76,1,74,37.8,3
11,13681290,,21,157,56,17,100,40,92
12,15566424,,66,171,79,11,90,40,58
13,12891699,,32,157,54,18,93,40.4,88
14,13823829,,53,182,85,2,82,38.1,7
15,17557348,,39,156,62,28,104,40.8,170
16,12198133,,39,182,82,4,82,38.6,11
17,15236104,,46,169,67,11,89,40.2,43
18,11042324,,27,171,65,4,85,38.6,15
19,16864285,,50,188,86,14,94,40.2,74
20,11674347,,67,189,93,8,77,39.2,29
21,19797300,,31,148,50,8,84,39.5,32
22,14711095,,33,157,60,3,80,38.7,10
23,14434854,,20,165,59,29,100,41,155
24,14893804,,48,182,85,1,80,37.7,3
25,17231597,,29,176,75,10,83,39.7,24
26,10901446,,33,173,73,7,78,39.3,12
27,15874362,,42,190,88,3,83,38.9,10
28,15569252,,62,159,59,29,106,41.2,195
29,15615743,,38,171,75,2,81,38.2,5
30,13363046,,20,183,88,16,97,40.5,69
31,17572853,,25,160,59,24,102,40.3,136
32,17157339,,24,165,59,18,91,40.2,80
33,18328111,,42,165,68,22,93,40.8,107
34,19303479,,22,182,84,29,114,41,200
35,10699201,,74,158,59,10,93,39.6,56
36,15283313,,70,154,59,10,88,40,50
37,16324247,,26,182,80,21,96,40.5,100
38,14277710,,44,184,86,25,114,40.8,200
39,10888188,,61,183,86,1,81,38.3,4
40,13379795,,68,157,57,13,92,40.1,70
41,17181524,,61,176,70,20,104,40.5,127
42,15988442,,63,179,80,25,108,40.8,197
43,19538533,,54,171,66,20,98,40.1,113
44,14591877,,54,169,66,3,80,38.9,11
45,14274480,,47,155,55,16,93,40.5,82
46,16818429,,33,184,86,8,86,39.9,26
47,17476522,,24,171,66,24,105,40.6,141
48,16369885,,24,195,98,20,96,40.6,92
49,17816292,,48,152,59,2,79,38,5
50,15995398,,35,193,93,10,83,39.7,30
51,17615432,,21,168,71,3,78,38.5,3
52,10146087,female,21,179,73,9,90,39.6,37
53,17967445,female,22,158,62,25,105,40.6,147
54,19670291,female,69,174,69,2,80,38.1,8
55,10580576,male,53,191,101,21,106,40.7,159
56,15854213,female,68,155,58,15,100,40.3,93
57,11138472,female,69,164,65,23,113,40.4,173
58,18276801,male,28,198,101,19,95,40.6,89
59,13823902,male,70,188,89,7,82,39.3,31
60,19222133,female,36,170,64,9,84,39.6,35
61,13231909,female,77,177,80,16,98,40.6,94
62,12726617,female,32,167,63,9,99,39.7,49
63,12538968,female,62,185,77,13,84,40.4,54
64,10941668,female,64,151,56,20,97,40.4,117
65,12628985,male,45,175,79,27,104,40.6,173
66,17691320,male,45,158,61,20,97,40.7,99
67,17822027,female,22,177,71,10,93,39.8,45
68,13777657,male,45,169,69,22,113,40.6,166
69,19423359,female,66,174,69,28,111,40.9,202
70,14701930,male,31,182,83,20,101,40.9,107
71,11513205,female,57,163,68,29,109,40.7,199
72,11842710,male,53,192,93,5,90,39.1,25
73,12576313,female,22,179,67,8,77,39.5,23
74,12367125,male,67,192,92,24,108,40.7,200
75,16913504,female,27,168,64,2,76,38.2,6
76,19439155,male,57,178,83,2,79,38.1,7
77,16137644,female,49,168,68,20,99,40.6,113
78,11622081,female,39,168,63,29,108,40.7,188
79,17374074,male,47,165,72,20,96,40.3,103
80,19096890,male,62,197,101,17,103,40.3,128
81,19628507,male,41,187,89,23,99,40.7,130
82,16918679,female,34,144,50,7,83,39.3,27
